episode 1: 0 total reward, 1001 steps, 0 epochs 
episode 97: -302.2587420413396 total reward, 101 steps, 8576 epochs 
episode 98: 2452.3907607193 total reward, 101 steps, 8677 epochs 
episode 99: 307.4964882639564 total reward, 101 steps, 8778 epochs 
episode 100: 2605.889181845374 total reward, 101 steps, 8879 epochs 
episode 101: 3824.5951417725305 total reward, 92 steps, 8971 epochs 
episode 102: 4845.082180042745 total reward, 101 steps, 9072 epochs 
episode 103: 3222.5734635764843 total reward, 101 steps, 9173 epochs 
episode 104: -466.89865183163744 total reward, 101 steps, 9274 epochs 
episode 105: -154.20515218252285 total reward, 88 steps, 9362 epochs 
episode 106: 407.4502974466062 total reward, 87 steps, 9449 epochs 
episode 107: 296.33325051552924 total reward, 87 steps, 9536 epochs 
episode 108: 280.3536636299196 total reward, 50 steps, 9586 epochs 
episode 109: 304.0107258256139 total reward, 50 steps, 9636 epochs 
episode 110: 299.9832832779275 total reward, 50 steps, 9686 epochs 
episode 111: 611.6307781644394 total reward, 101 steps, 9787 epochs 
episode 112: 354.0111132249561 total reward, 101 steps, 9888 epochs 
episode 113: 2670.460285991823 total reward, 101 steps, 9989 epochs 
episode 114: 271.8933201400278 total reward, 50 steps, 10039 epochs 
episode 115: 283.0557748580917 total reward, 50 steps, 10089 epochs 
episode 116: 271.6120183172567 total reward, 50 steps, 10139 epochs 
episode 117: 182.24669328587777 total reward, 50 steps, 10189 epochs 
episode 118: 243.61057521514135 total reward, 50 steps, 10239 epochs 
episode 119: 239.4666150788329 total reward, 59 steps, 10298 epochs 
episode 120: -25.35253477410174 total reward, 50 steps, 10348 epochs 
episode 121: 2940.5439018999696 total reward, 101 steps, 10449 epochs 
episode 122: -93.77849935725209 total reward, 50 steps, 10499 epochs 
episode 123: -102.21430826328785 total reward, 50 steps, 10549 epochs 
episode 124: 3306.880206770937 total reward, 101 steps, 10650 epochs 
episode 125: 3065.7306641748396 total reward, 101 steps, 10751 epochs 
episode 126: -42.87613641055282 total reward, 50 steps, 10801 epochs 
episode 127: -2.2564861868862067 total reward, 50 steps, 10851 epochs 
episode 128: -27.68592069635298 total reward, 50 steps, 10901 epochs 
episode 129: -18.592353822081805 total reward, 50 steps, 10951 epochs 
episode 130: -118.67749045512156 total reward, 50 steps, 11001 epochs 
episode 131: 3044.110128961231 total reward, 101 steps, 11102 epochs 
episode 132: 2630.8125023396738 total reward, 101 steps, 11203 epochs 
episode 133: 3266.479696309902 total reward, 101 steps, 11304 epochs 
episode 134: 2591.870950870766 total reward, 101 steps, 11405 epochs 
episode 135: -447.3717493058317 total reward, 74 steps, 11479 epochs 
episode 136: -90.64743877995181 total reward, 101 steps, 11580 epochs 
episode 137: 3476.3595057610614 total reward, 101 steps, 11681 epochs 
episode 138: 3209.984294227265 total reward, 101 steps, 11782 epochs 
episode 139: 2825.184891155105 total reward, 101 steps, 11883 epochs 
episode 140: 2721.8222820441956 total reward, 101 steps, 11984 epochs 
episode 141: 3295.485812507695 total reward, 101 steps, 12085 epochs 
episode 142: 3549.1210206526853 total reward, 101 steps, 12186 epochs 
episode 143: 3373.533651716767 total reward, 101 steps, 12287 epochs 
episode 144: -341.194476123014 total reward, 73 steps, 12360 epochs 
episode 145: 3514.7717270735902 total reward, 101 steps, 12461 epochs 
episode 146: -509.4040617997674 total reward, 82 steps, 12543 epochs 
episode 147: -562.1513747568576 total reward, 74 steps, 12617 epochs 
episode 148: -577.077477579224 total reward, 74 steps, 12691 epochs 
episode 149: 3528.480274941932 total reward, 101 steps, 12792 epochs 
episode 150: 3686.0768202053187 total reward, 101 steps, 12893 epochs 
episode 151: -1204.253824320679 total reward, 99 steps, 12992 epochs 
episode 152: 2390.9547460046183 total reward, 101 steps, 13093 epochs 
episode 153: -147.5126751266263 total reward, 50 steps, 13143 epochs 
episode 154: 3938.457197740497 total reward, 101 steps, 13244 epochs 
episode 155: -168.74569590580282 total reward, 50 steps, 13294 epochs 
episode 156: -100.29332964510706 total reward, 50 steps, 13344 epochs 
episode 157: -102.1066243576615 total reward, 50 steps, 13394 epochs 
episode 158: -147.93378861349743 total reward, 50 steps, 13444 epochs 
episode 159: -255.9043313117711 total reward, 50 steps, 13494 epochs 
episode 160: 47.56026125912797 total reward, 50 steps, 13544 epochs 
episode 161: 2187.724232928889 total reward, 101 steps, 13645 epochs 
episode 162: -13.460779349811332 total reward, 50 steps, 13695 epochs 
episode 163: 52.02516791920999 total reward, 50 steps, 13745 epochs 
episode 164: 235.54470037366684 total reward, 84 steps, 13829 epochs 
episode 165: 1432.752857311044 total reward, 101 steps, 13930 epochs 
episode 166: 4022.7231772183495 total reward, 101 steps, 14031 epochs 
episode 167: 3152.3758242250815 total reward, 101 steps, 14132 epochs 
episode 168: 3906.0808558476597 total reward, 101 steps, 14233 epochs 
episode 169: 1867.8806701120243 total reward, 101 steps, 14334 epochs 
episode 170: 3081.294869728063 total reward, 101 steps, 14435 epochs 
episode 171: -147.3977385492653 total reward, 50 steps, 14485 epochs 
episode 172: -156.2084744969938 total reward, 50 steps, 14535 epochs 
episode 173: 1622.2568047114664 total reward, 94 steps, 14629 epochs 
episode 174: 1595.8977154795298 total reward, 78 steps, 14707 epochs 
episode 175: -1071.7688019790658 total reward, 98 steps, 14805 epochs 
episode 176: -632.861417746909 total reward, 100 steps, 14905 epochs 
episode 177: -626.4772144157236 total reward, 94 steps, 14999 epochs 
episode 178: -116.30399084885187 total reward, 50 steps, 15049 epochs 
episode 179: -100.37489289697709 total reward, 50 steps, 15099 epochs 
