episode 36846: -28712.592621888278 total reward, 82 steps, 5335 epochs 
episode 36847: -10684.72040808976 total reward, 77 steps, 5412 epochs 
episode 36848: 7720.439376935974 total reward, 52 steps, 5464 epochs 
episode 36849: -18296.651350188287 total reward, 73 steps, 5537 epochs 
episode 36850: -11076.07107372323 total reward, 45 steps, 5582 epochs 
episode 36851: -35403.648716604395 total reward, 97 steps, 5679 epochs 
episode 36852: -28914.250734704092 total reward, 78 steps, 5757 epochs 
episode 36853: 35065.92537082528 total reward, 43 steps, 5800 epochs 
episode 36854: 32716.524419489633 total reward, 6 steps, 5806 epochs 
episode 36855: -11088.128120646244 total reward, 67 steps, 5873 epochs 
episode 36856: -2700.267562829358 total reward, 91 steps, 5964 epochs 
episode 36857: 33654.7060223476 total reward, 9 steps, 5973 epochs 
episode 36858: -5969.8194384558865 total reward, 49 steps, 6022 epochs 
episode 36859: -19866.099521079414 total reward, 90 steps, 6112 epochs 
episode 36860: -7439.516664034193 total reward, 19 steps, 6131 epochs 
episode 36861: -20956.12736654923 total reward, 92 steps, 6223 epochs 
episode 36862: -5682.003007954841 total reward, 76 steps, 6299 epochs 
episode 36863: 36444.48269982012 total reward, 34 steps, 6333 epochs 
episode 36864: -18217.041768419454 total reward, 77 steps, 6410 epochs 
episode 36865: -9039.022560511434 total reward, 86 steps, 6496 epochs 
episode 36866: -9425.126946176926 total reward, 38 steps, 6534 epochs 
episode 36867: -9442.811893748021 total reward, 28 steps, 6562 epochs 
episode 36868: -33016.77727928316 total reward, 78 steps, 6640 epochs 
episode 36869: 9938.58530072819 total reward, 69 steps, 6709 epochs 
episode 36870: 45307.68755185176 total reward, 54 steps, 6763 epochs 
episode 36871: 35578.91977655691 total reward, 27 steps, 6790 epochs 
episode 36872: -8765.215933469754 total reward, 53 steps, 6843 epochs 
episode 36873: -10632.822447807715 total reward, 58 steps, 6901 epochs 
episode 36874: -8886.22725245112 total reward, 54 steps, 6955 epochs 
episode 36875: -11187.54832492732 total reward, 65 steps, 7020 epochs 
episode 36876: -21874.93510988509 total reward, 85 steps, 7105 epochs 
episode 36877: -9368.957365759412 total reward, 62 steps, 7167 epochs 
episode 36878: -25247.80681868494 total reward, 73 steps, 7240 epochs 
episode 36879: -30711.247759714555 total reward, 70 steps, 7310 epochs 
episode 36880: -12221.11676075164 total reward, 73 steps, 7383 epochs 
episode 36881: 44137.66124997729 total reward, 62 steps, 7445 epochs 
episode 36882: -9675.75832709995 total reward, 69 steps, 7514 epochs 
episode 36883: -28688.86461022504 total reward, 68 steps, 7582 epochs 
episode 36884: -31246.56813188363 total reward, 81 steps, 7663 epochs 
